,ID,V11,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V57,V58,V144,V229,V230,V231,V232,V233,V234,V235,V237,V238,V239,V240,V241,V242,V245,V246,V248,DEFIANCE,DISBELIEF,RELATIVISM,SCEPTICISM,AUTONOMY,EQUALITY,CHOICE,VOICE,SACSECVAL,RESEMAVAL,Country,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Values Groups
12223,12342,3,0,0,0,1,0,0,0,0,0,0,-2,1,1,0,1,2,3,3,8,1,1,1,4,7,1,1960,52,-4,1,9.0,0.5745800137519836,0.886667013168335,1.7796490496925177e-43,0.33000001311302185,0.6666669845581055,0.5533329844474792,1.7796490496925177e-43,0.0,0.5970820188522339,0.3815329968929291,China,0.6638559568712082,-2.138186271259945,0.2190854825989142,1.7486875244933284,-0.8771591645340338,0.37663229548058297,2
12224,12343,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,1,2,3,7,2,2,2,4,6,2,1954,58,-4,1,5.0,0.6100000143051147,0.886667013168335,0.0,0.10999999940395355,0.6666669845581055,0.7766669988632202,0.3703700006008148,0.0,0.4016669988632202,0.4534260034561157,China,1.5681093495998875,-2.5682462600087206,0.03492129091055843,0.5912210731614155,-1.3348525803365843,0.24733086266973067,2
12225,12344,2,0,1,0,1,1,0,0,0,0,0,-2,1,1,12,1,1,6,5,8,2,1,1,3,7,1,1978,34,-4,1,9.0,0.5533329844474792,0.4433329999446869,1.7796490496925177e-43,0.2199999988079071,0.33333298563957214,0.4433329999446869,1.7796490496925177e-43,0.16500000655651093,0.40555500984191895,0.2979530096054077,China,-0.34216716052840634,-1.2774365511987065,-0.06814568639566437,1.0526559383087495,-0.6485000186702217,1.098504650226991,1
12226,12345,1,1,1,1,1,0,0,0,0,0,1,-2,1,1,12,1,2,9,2,9,2,1,2,3,7,2,1968,48,-4,1,7.0,0.38666701316833496,0.4433329999446869,1.0,0.10999999940395355,1.0,0.4399999976158142,0.1851850003004074,0.0,0.48500001430511475,0.4062960147857666,China,0.3568490331534855,-1.6110473446318054,2.258582017250698,-0.21057038191533275,0.47720726591094564,-0.7497425114553707,3
12227,12347,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,1,1,9,1,1,4,5,5,1,1978,34,-4,1,3.0,0.4966669976711273,0.886667013168335,0.33333298563957214,1.7796490496925177e-43,0.6666669845581055,0.10999999940395355,0.014999999664723873,0.0,0.5722219944000244,0.19791699945926666,China,-0.11924992976356713,-2.591908349444391,1.6799152228320546,0.9077866233211369,-0.38118276394761613,1.315073996465704,1
12228,12348,3,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,4,1,1,10,2,1,4,5,3,2,1969,43,-4,1,5.0,0.886667013168335,0.886667013168335,0.07100000232458115,0.33000001311302185,0.6666669845581055,0.886667013168335,0.370371013879776,0.25,0.5435839891433716,0.543425977230072,China,2.778241077614391,-1.7945768094343473,-0.22308846067605795,1.3889530626163198,-0.9944404474732417,0.6434086199389907,2
12229,12349,3,0,0,0,0,0,0,0,0,0,0,-2,1,1,0,1,2,1,1,8,2,1,4,4,6,1,1986,26,-4,1,7.0,0.4966669976711273,0.886667013168335,0.07100000232458115,0.4399999976158142,1.0,0.4433329999446869,0.4074079990386963,0.16500000655651093,0.47358399629592896,0.5039349794387817,China,1.6583771631293498,-2.0389013283528477,0.5571015635764415,1.449658422535483,0.11431948734451365,-0.05313178156248787,2
12230,12351,3,0,0,0,0,0,0,0,0,0,0,0,1,1,12,1,2,1,2,9,2,1,2,3,8,1,1974,38,-4,1,5.0,0.4966669976711273,0.4977779984474182,0.33333298563957214,0.0,0.6666669845581055,0.2199999988079071,0.14814800024032593,0.41499999165534973,0.33194500207901,0.36245399713516235,China,0.16839585308967459,-1.6961932671666773,0.8675752267050505,0.14456731015056923,0.769539160042377,1.4774678432960755,1
12231,12352,3,0,0,0,1,0,0,0,0,0,0,-2,3,1,0,1,1,9,1,9,1,1,2,4,5,2,1976,36,-4,1,9.0,0.38666701316833496,0.5533329844474792,1.7796490496925177e-43,0.10999999940395355,1.0,0.886667013168335,1.7796490496925177e-43,0.16500000655651093,0.3499999940395355,0.6293870210647583,China,0.5419806048777921,-2.5356153806276693,-0.611424007856094,0.3240389344209915,0.3033850257408048,-0.7719631222322357,2
12232,12353,2,0,1,0,1,0,0,0,0,0,0,-2,1,1,12,4,1,6,4,8,2,2,1,3,8,2,1961,51,-4,1,7.0,0.4966669976711273,0.5533329844474792,0.49000000953674316,0.2199999988079071,0.6666669845581055,0.33333298563957214,0.2222220003604889,0.0,0.4399999976158142,0.3055559992790222,China,0.25707955251205006,-1.5333923736207915,1.4703947802756772,0.6917835912134511,-0.37150191923394454,0.264727071739949,1
